TimeGenerated,UserPrincipalName,AppDisplayName,IPAddress,City,Country,ResultType,ResultDescription,DeviceOS,Browser
2026-08-31T08:26:38Z,gwen.muir@cloudora.io,Microsoft 365,203.0.113.12,London,United Kingdom,0,Success,macOS 14,Safari
2026-08-31T13:44:01Z,gwen.muir@cloudora.io,SharePoint Online,203.0.113.12,London,United Kingdom,0,Success,macOS 14,Safari
2026-08-31T16:09:35Z,gwen.muir@cloudora.io,Outlook Web App,203.0.113.12,London,United Kingdom,0,Success,macOS 14,Safari
2026-08-31T18:22:41Z,omar.farah@cloudora.io,Outlook Web App,203.0.113.10,London,United Kingdom,0,Success,iOS 17,Mobile Safari
2026-08-31T23:41:40Z,svc-backup@cloudora.io,Backup Agent (service),203.0.113.20,London,United Kingdom,50126,Invalid username or password,Windows Server 2022,
2026-08-31T23:42:07Z,svc-backup@cloudora.io,Backup Agent (service),203.0.113.20,London,United Kingdom,50126,Invalid username or password,Windows Server 2022,
2026-08-31T23:43:01Z,svc-backup@cloudora.io,Backup Agent (service),203.0.113.20,London,United Kingdom,50126,Invalid username or password,Windows Server 2022,
2026-08-31T23:44:47Z,svc-backup@cloudora.io,Backup Agent (service),203.0.113.20,London,United Kingdom,50126,Invalid username or password,Windows Server 2022,
2026-08-31T23:46:17Z,svc-backup@cloudora.io,Backup Agent (service),203.0.113.20,London,United Kingdom,50126,Invalid username or password,Windows Server 2022,
2026-08-31T23:47:15Z,svc-backup@cloudora.io,Backup Agent (service),203.0.113.20,London,United Kingdom,50126,Invalid username or password,Windows Server 2022,
2026-08-31T23:48:14Z,svc-backup@cloudora.io,Backup Agent (service),203.0.113.20,London,United Kingdom,50126,Invalid username or password,Windows Server 2022,
2026-08-31T23:50:08Z,svc-backup@cloudora.io,Backup Agent (service),203.0.113.20,London,United Kingdom,50126,Invalid username or password,Windows Server 2022,
2026-08-31T23:51:47Z,svc-backup@cloudora.io,Backup Agent (service),203.0.113.20,London,United Kingdom,50126,Invalid username or password,Windows Server 2022,
2026-08-31T23:52:06Z,svc-backup@cloudora.io,Backup Agent (service),203.0.113.20,London,United Kingdom,50126,Invalid username or password,Windows Server 2022,
2026-08-31T23:53:43Z,svc-backup@cloudora.io,Backup Agent (service),203.0.113.20,London,United Kingdom,50126,Invalid username or password,Windows Server 2022,
2026-08-31T23:55:47Z,svc-backup@cloudora.io,Backup Agent (service),203.0.113.20,London,United Kingdom,50126,Invalid username or password,Windows Server 2022,
2026-08-31T23:56:57Z,svc-backup@cloudora.io,Backup Agent (service),203.0.113.20,London,United Kingdom,50126,Invalid username or password,Windows Server 2022,
2026-08-31T23:57:34Z,svc-backup@cloudora.io,Backup Agent (service),203.0.113.20,London,United Kingdom,50126,Invalid username or password,Windows Server 2022,
2026-08-31T23:59:05Z,svc-backup@cloudora.io,Backup Agent (service),203.0.113.20,London,United Kingdom,50126,Invalid username or password,Windows Server 2022,
2026-09-01T00:00:37Z,svc-backup@cloudora.io,Backup Agent (service),203.0.113.20,London,United Kingdom,50126,Invalid username or password,Windows Server 2022,
2026-09-01T00:01:27Z,svc-backup@cloudora.io,Backup Agent (service),203.0.113.20,London,United Kingdom,50126,Invalid username or password,Windows Server 2022,
2026-09-01T00:03:02Z,svc-backup@cloudora.io,Backup Agent (service),203.0.113.20,London,United Kingdom,50126,Invalid username or password,Windows Server 2022,
2026-09-01T00:14:52Z,svc-backup@cloudora.io,Backup Agent (service),203.0.113.20,London,United Kingdom,0,Success,Windows Server 2022,
2026-09-01T03:54:37Z,gwen.muir@cloudora.io,IMAP4 (legacy protocol),198.18.163.41,London,United Kingdom,0,Success,Windows 10,Firefox
2026-09-01T05:09:12Z,daniel.reeve@cloudora.io,Microsoft 365,102.89.44.17,Lagos,Nigeria,53003,Blocked by Conditional Access policy,Windows 10,Chrome
2026-09-01T05:10:05Z,daniel.reeve@cloudora.io,Microsoft 365,102.89.44.17,Lagos,Nigeria,53003,Blocked by Conditional Access policy,Windows 10,Chrome
2026-09-01T05:11:41Z,daniel.reeve@cloudora.io,Microsoft 365,102.89.44.17,Lagos,Nigeria,53003,Blocked by Conditional Access policy,Windows 10,Chrome
2026-09-01T05:58:41Z,omar.farah@cloudora.io,Microsoft 365,198.18.99.120,Dubai,United Arab Emirates,0,Success,iOS 17,Mobile Safari
2026-09-01T06:31:01Z,nina.cole@cloudora.io,Microsoft 365,198.51.100.22,Manchester,United Kingdom,500121,"MFA denied, user did not complete the prompt",Windows 10,Chrome
2026-09-01T06:35:05Z,nina.cole@cloudora.io,Microsoft 365,198.51.100.22,Manchester,United Kingdom,500121,"MFA denied, user did not complete the prompt",Windows 10,Chrome
2026-09-01T06:39:13Z,nina.cole@cloudora.io,Microsoft 365,198.51.100.22,Manchester,United Kingdom,500121,"MFA denied, user did not complete the prompt",Windows 10,Chrome
2026-09-01T06:40:17Z,omar.farah@cloudora.io,Microsoft Teams,203.0.113.10,London,United Kingdom,0,Success (non-interactive token refresh),Windows 11,Edge
2026-09-01T06:43:14Z,nina.cole@cloudora.io,Microsoft 365,198.51.100.22,Manchester,United Kingdom,500121,"MFA denied, user did not complete the prompt",Windows 10,Chrome
2026-09-01T06:47:32Z,nina.cole@cloudora.io,Microsoft 365,198.51.100.22,Manchester,United Kingdom,500121,"MFA denied, user did not complete the prompt",Windows 10,Chrome
2026-09-01T06:52:18Z,nina.cole@cloudora.io,Microsoft 365,198.51.100.22,Manchester,United Kingdom,0,Success,Windows 10,Chrome
2026-09-01T07:31:29Z,omar.farah@cloudora.io,Outlook Web App,198.18.99.120,Dubai,United Arab Emirates,0,Success,iOS 17,Mobile Safari
2026-09-01T07:58:37Z,finn.gale@cloudora.io,Microsoft 365,198.51.100.24,Manchester,United Kingdom,0,Success,iOS 17,Mobile Safari
2026-09-01T08:03:14Z,lucas.ford@cloudora.io,Microsoft 365,203.0.113.10,London,United Kingdom,0,Success,Android 14,Chrome Mobile
2026-09-01T08:05:44Z,liam.doyle@cloudora.io,Microsoft 365,203.0.113.17,London,United Kingdom,0,Success,Windows 10,Chrome
2026-09-01T08:09:34Z,tara.kemp@cloudora.io,Microsoft 365,203.0.113.14,London,United Kingdom,0,Success,Windows 10,Chrome
2026-09-01T08:12:45Z,daniel.reeve@cloudora.io,Outlook Web App,203.0.113.13,London,United Kingdom,0,Success,Windows 11,Edge
2026-09-01T08:16:26Z,james.holt@cloudora.io,Outlook Web App,198.51.100.20,Manchester,United Kingdom,0,Success,Windows 11,Edge
2026-09-01T08:21:28Z,aria.reid@cloudora.io,Microsoft Teams,203.0.113.13,London,United Kingdom,0,Success,macOS 14,Safari
2026-09-01T08:31:12Z,gwen.muir@cloudora.io,Microsoft 365,203.0.113.12,London,United Kingdom,0,Success,macOS 14,Safari
2026-09-01T08:34:17Z,dean.page@cloudora.io,Microsoft 365,192.0.2.31,Austin,United States,0,Success,macOS 14,Safari
